job_id,job_title,company_name,location,posted_date,job_category,job_apply_full_link
1,Senior Back-End Python Engineer,Active Prime,"Remote, Remote, Remote",2025-06-12,Developer / Engineer,https://www.python.org/jobs/7913/
2,Software Developer – Infrastructure and Systems Support (Ref. TEC-IT-25-8),European Gravitational Observatory (EGO),"Cascina (PI), Tuscany, Italy",2025-06-10,Developer / Engineer,https://www.python.org/jobs/7880/
3,CNO Python Software Engineer,ManTech,"Hanover, US",2025-06-09,Developer / Engineer,https://www.python.org/jobs/7879/
4,Senior Software Engineer,Simons Foundation,"New York, New York, United States",2025-06-06,Developer / Engineer,https://www.python.org/jobs/7878/
5,Senior Full-Stack Product Engineer,SOUS,"Amsterdam, Netherlands",2025-06-05,Developer / Engineer,https://www.python.org/jobs/7877/
6,LLM - Python for Computer Vision,Thisan Mikal,"Remote, Any, Worldwide",2025-06-05,Developer / Engineer,https://www.python.org/jobs/7876/
7,Senior Python Developer,Foxley Talent,"London, Select state, United Kingdom",2025-06-04,Developer / Engineer,https://www.python.org/jobs/7875/
8,Principal Backend Engineer,AutoHDR,"Austin, Texas, United States",2025-06-03,Developer / Engineer,https://www.python.org/jobs/7874/
9,Senior Python Automation Engineer (AI/Cloud/LLM/DevOps),*Confidential*,"Nashville, Tennessee, USA",2025-06-01,Developer / Engineer,https://www.python.org/jobs/7871/
10,CTO (Python Expert & Technical Leader) – Equity/Stock Options Available,Domainsbot,"Rome, Italy",2025-05-28,Developer / Engineer,https://www.python.org/jobs/7870/
11,VP of Engineering,Permutable AI,"London, London, United Kingdom",2025-05-26,Manager / Executive,https://www.python.org/jobs/7869/
12,Associate Principal Graph Data Scientist,AstraZeneca,"Macclesfield/Gothenburg, UK/Sweden",2025-05-23,Researcher / Scientist,https://www.python.org/jobs/7868/
13,Associate Principal AI Data Scientist,AstraZeneca,"Macclesfield/Gothenburg, UK/Sweden",2025-05-23,Researcher / Scientist,https://www.python.org/jobs/7867/
14,Sr. Software Developer (Healthcare),Prenosis,"Remote (USA Only), USA",2025-05-23,Developer / Engineer,https://www.python.org/jobs/7866/
15,Senior Phython Engineer,IOMICS Corporation,"Holyoke, MA, United States",2025-05-20,Developer / Engineer,https://www.python.org/jobs/7862/
16,Senior Backend Engineer,Wasmer,"Madrid, CA, Spain",2025-05-20,Developer / Engineer,https://www.python.org/jobs/7861/
17,Research Engineer,GEM (GlobalQuakeModel),"Pavia, Lombardy, Italy",2025-05-06,Researcher / Scientist,https://www.python.org/jobs/7854/
18,Senior Software Engineer (LATAM),NetMakers,"New York, Nueva York, United State",2025-04-25,Developer / Engineer,https://www.python.org/jobs/7848/
19,Core Tech AI Engineer at CodeFlash.ai,CodeFlash.ai,"san francisco, California, United States",2025-04-14,Developer / Engineer,https://www.python.org/jobs/7844/
20,Python Software Engineer (Docker required),Mercor,"Remote, Remote",2025-04-12,Developer / Engineer,https://www.python.org/jobs/7843/
21,Senior Python Engineer,Prompt Therapy Solutions,"Remote, US, United States",2025-04-10,Developer / Engineer,https://www.python.org/jobs/7841/
22,Senior Full Stack Web Developer (Python/Django + CMS),VanNoppen Marketing,"Morganton, NC, USA",2025-04-02,Developer / Engineer,https://www.python.org/jobs/7840/
23,Python Software Engineer,HypothesisBase,"Remote, Remote, United States",2025-03-27,Developer / Engineer,https://www.python.org/jobs/7836/
24,Senior Platform Engineer,plantbid,"Remote, North America, North America",2025-03-26,Developer / Engineer,https://www.python.org/jobs/7835/
25,Drone Python Programmer/Software Engineer,Start Up,"Suffolk County Long Island, NY, United States",2025-03-25,Developer / Engineer,https://www.python.org/jobs/7834/
26,Senior Back-End Engineer (Python),Utopicode,"Monterrey, Nuevo Leon, Mexico",2025-03-14,Developer / Engineer,https://www.python.org/jobs/7832/
