job_title,company_name,location,job_type,posted_date,job_category,job_apply_full_link
Senior Back-End Python Engineer,Active Prime,"Remote, Remote, Remote","['Back end', 'Database']",2025-06-12,Developer / Engineer,https://www.python.org/jobs/7913/
Software Developer – Infrastructure and Systems Support (Ref. TEC-IT-25-8),European Gravitational Observatory (EGO),"Cascina (PI), Tuscany, Italy","['Back end', 'Operations', 'Systems']",2025-06-10,Developer / Engineer,https://www.python.org/jobs/7880/
CNO Python Software Engineer,ManTech,"Hanover, US",['Systems'],2025-06-09,Developer / Engineer,https://www.python.org/jobs/7879/
Senior Software Engineer,Simons Foundation,"New York, New York, United States","['Back end', 'Machine Learning', 'Systems']",2025-06-06,Developer / Engineer,https://www.python.org/jobs/7878/
Senior Full-Stack Product Engineer,SOUS,"Amsterdam, Netherlands","['Back end', 'Cloud', 'Database', 'Web']",2025-06-05,Developer / Engineer,https://www.python.org/jobs/7877/
LLM - Python for Computer Vision,Thisan Mikal,"Remote, Any, Worldwide","['Back end', 'Cloud', 'Front end', 'Integration', 'Machine Learning']",2025-06-05,Developer / Engineer,https://www.python.org/jobs/7876/
Senior Python Developer,Foxley Talent,"London, Select state, United Kingdom","['Back end', 'Front end']",2025-06-04,Developer / Engineer,https://www.python.org/jobs/7875/
Principal Backend Engineer,AutoHDR,"Austin, Texas, United States","['Image Processing', 'Machine Learning', 'Systems']",2025-06-03,Developer / Engineer,https://www.python.org/jobs/7874/
Senior Python Automation Engineer (AI/Cloud/LLM/DevOps),*Confidential*,"Nashville, Tennessee, USA","['Back end', 'Cloud', 'Integration', 'Machine Learning', 'Operations', 'Systems']",2025-06-01,Developer / Engineer,https://www.python.org/jobs/7871/
CTO (Python Expert & Technical Leader) – Equity/Stock Options Available,Domainsbot,"Rome, Italy","['Back end', 'Cloud', 'Database', 'Management']",2025-05-28,Developer / Engineer,https://www.python.org/jobs/7870/
VP of Engineering,Permutable AI,"London, London, United Kingdom","['Back end', 'Big Data', 'Cloud', 'Integration', 'Lead', 'Machine Learning', 'Management', 'Operations', 'Systems']",2025-05-26,Manager / Executive,https://www.python.org/jobs/7869/
Associate Principal Graph Data Scientist,AstraZeneca,"Macclesfield/Gothenburg, UK/Sweden",['Machine Learning'],2025-05-23,Researcher / Scientist,https://www.python.org/jobs/7868/
Associate Principal AI Data Scientist,AstraZeneca,"Macclesfield/Gothenburg, UK/Sweden",['Machine Learning'],2025-05-23,Researcher / Scientist,https://www.python.org/jobs/7867/
Sr. Software Developer (Healthcare),Prenosis,"Remote (USA Only), USA","['Back end', 'Cloud', 'Front end', 'Web']",2025-05-23,Developer / Engineer,https://www.python.org/jobs/7866/
Senior Phython Engineer,IOMICS Corporation,"Holyoke, MA, United States","['Back end', 'Database', 'Integration', 'Machine Learning', 'Web']",2025-05-20,Developer / Engineer,https://www.python.org/jobs/7862/
Senior Backend Engineer,Wasmer,"Madrid, CA, Spain","['Back end', 'Lead']",2025-05-20,Developer / Engineer,https://www.python.org/jobs/7861/
Research Engineer,GEM (GlobalQuakeModel),"Pavia, Lombardy, Italy","['Back end', 'Big Data', 'Integration', 'Numeric processing', 'Testing', 'Web']",2025-05-06,Researcher / Scientist,https://www.python.org/jobs/7854/
Senior Software Engineer (LATAM),NetMakers,"New York, Nueva York, United State",['Back end'],2025-04-25,Developer / Engineer,https://www.python.org/jobs/7848/
Core Tech AI Engineer at CodeFlash.ai,CodeFlash.ai,"san francisco, California, United States","['Back end', 'Machine Learning']",2025-04-14,Developer / Engineer,https://www.python.org/jobs/7844/
Python Software Engineer (Docker required),Mercor,"Remote, Remote","['Back end', 'Operations', 'Systems']",2025-04-12,Developer / Engineer,https://www.python.org/jobs/7843/
Senior Python Engineer,Prompt Therapy Solutions,"Remote, US, United States","['Back end', 'Cloud', 'Machine Learning']",2025-04-10,Developer / Engineer,https://www.python.org/jobs/7841/
Senior Full Stack Web Developer (Python/Django + CMS),VanNoppen Marketing,"Morganton, NC, USA","['Back end', 'Lead', 'Web']",2025-04-02,Developer / Engineer,https://www.python.org/jobs/7840/
Python Software Engineer,HypothesisBase,"Remote, Remote, United States","['Back end', 'Big Data', 'Database', 'Systems', 'Text Processing']",2025-03-27,Developer / Engineer,https://www.python.org/jobs/7836/
Senior Platform Engineer,plantbid,"Remote, North America, North America","['Back end', 'Big Data', 'Cloud', 'Integration', 'Web']",2025-03-26,Developer / Engineer,https://www.python.org/jobs/7835/
Drone Python Programmer/Software Engineer,Start Up,"Suffolk County Long Island, NY, United States","['Image Processing', 'Machine Learning', 'Systems', 'Web']",2025-03-25,Developer / Engineer,https://www.python.org/jobs/7834/
